date	name	commits	defunct name	files	notes
2018-12-01	module/find	4e4dd31		src/core/core.janet	renamed from module.paths which was added in 68895e2
2018-12-01	bnot	4e4dd31		src/core/corelib.c	renamed from ~ which was added in b860b0a
					
2018-12-08	match	b7d44ba,b250679		lib/match.janet	moved to src/core/core.janet in b250679
					
2018-12-09		bb918d0			tag 0.1.0
					
2018-12-17	band	99e14a9		src/core/corelib.c	renamed from & which was added in a018f9f
2018-12-17	bor	99e14a9		src/core/corelib.c	renamed from | which was added in a018f9f
2018-12-17	bxor	99e14a9		src/core/corelib.c	renamed from ^ which was added in a018f9f
2018-12-17	blshift	99e14a9		src/core/corelib.c	renamed from << which was added in a018f9f
2018-12-17	brshift	99e14a9		src/core/corelib.c	renamed from >> which was added in a018f9f
2018-12-17	brushift	99e14a9		src/core/corelib.c	renamed from >>> which was added in a018f9f
					
2018-12-24		2c94aa1			tag 0.2.0
					
2019-01-09	all-bindings	5b1a3b8			renamed from all-symbols which was added in f8bda3a
					
2019-01-19	module/cache	b84b0e4		src/core/core.janet	
2019-01-19	module/loading	b84b0e4		src/core/core.janet	
					
2019-01-27		c333cbf			tag 0.3.0
					
2019-02-08	partition	fe27df5		src/core/core.janet	
					
2019-02-17	make-image	1f91ee3		src/core/core.janet	
2019-02-17	load-image	1f91ee3		src/core/core.janet	
					
2019-03-09		a61b59b			tag v0.4.0
					
2019-03-10	break	4a111b3		src/core/specials.c	
					
2019-04-15		7527142			tag v0.4.1
					
2019-04-17	printf	2d7df6b		src/boot/boot.janet	
2019-04-17	dyn	2d7df6b		src/core/corelib.c	
2019-04-17	setdyn	2d7df6b		src/core/corelib.c	
					
2019-04-17	with-dyns	513d551		src/boot/boot.janet	
					
2019-04-17	all-dynamics	d1eca1c		src/boot/boot.janet	
					
2019-05-05	trace	88b8418		src/core/corelib.c	
2019-05-05	untrace	88b8418		src/core/corelib.c	
					
2019-05-10		c7dc361			tag v0.5.0
					
2019-05-10	dofile	3388acd		src/boot/boot.janet	
					
2019-05-30		ba09564			tag v0.6.0
					
2019-06-19	module/expand-path	9ba8728		src/core/corelib.c	
					
2019-06-25	propagate	b8032ec		src/core/corelib.c	
					
2019-06-25	with	a7f3d34		src/boot/boot.janet	renamed from with-resource which was added in b8032ec
					
2019-07-02		d66f833			tag v1.0.0
					
2019-07-09		3928136			tag v1.1.0
					
2019-07-20	use	0d3986a		src/boot/boot.janet	
					
2019-08-05	int?	44e752d		src/core/corelib.c	
2019-08-05	nat?	44e752d		src/core/corelib.c	
2019-08-05	short-fn	44e752d		src/boot/boot.janet	
					
2019-08-06	take	18da183		src/boot/boot.janet	added by curist
2019-08-06	drop	18da183		src/boot/boot.janet	added by curist
					
2019-08-09		ec62e87			tag v1.2.0
					
2019-09-06	get-in	7a13d24		src/boot/boot.janet	
2019-09-06	update-in	7a13d24		src/boot/boot.janet	
2019-09-06	freeze	7a13d24		src/boot/boot.janet	
					
2019-09-06	put-in	99f1472		src/boot/boot.janet	
					
2019-09-06		37a943d			tag v1.3.0
					
2019-09-20	mean	8e42731		src/boot/boot.janet	
					
2019-09-22		7809f89			tag v1.3.1
					
2019-09-25	slice	70ffe3b,cf2d386		src/boot/boot.janet	became janet_core_slice c function in corelib.c in cf2d386
					
2019-10-04	varfn	e9f3dc7		src/boot/boot.janet	
					
2019-10-11	quit	a18a251		src/boot/boot.janet	
					
2019-10-15		7fd0748			tag v1.4.0
					
2019-10-19	prin	d47804d		src/core/io.c	
2019-10-19	eprin	d47804d		src/core/io.c	
2019-10-19	eprint	d47804d		src/core/io.c	
					
2019-10-20	eprintf	8dd8af7		src/core/io.c	
					
2019-10-30	cli-main	0d16b9e		src/boot/boot.janet	
					
2019-11-01	with-vars	6ceaf9d		src/boot/boot.janet	
					
2019-11-09	in	aee1687		src/core/corelib.c	
					
2019-11-11		0d2844b			tag v1.5.0
					
2019-11-17		5171dfd			tag v1.5.1
					
2019-11-27	make-image-dict	bca0392		src/boot/boot.janet	
2019-11-27	load-image-dict	bca0392		src/boot/boot.janet	
					
2019-12-01	truthy?	ded08b6		src/boot/boot.janet	
					
2019-12-02	prinf	e5fbe5c		src/core/io.c	
2019-12-02	eprinf	e5fbe5c		src/core/io.c	
					
2019-12-04	nan?	3284547		src/boot/boot.janet	
					
2019-12-05	comptime	49954c7		src/boot/boot.janet	
					
2019-12-13	protect	1a6eb52		src/boot/boot.janet	
					
2019-12-13	root-env	5b9eda5		src/boot/boot.janet	
					
2019-12-23		da93a73			tag v1.6.0
					
2020-01-13	module/add-paths	f709d7e		src/boot/boot.janet	
					
2020-01-16	assert	65be9ae		src/boot/boot.janet	
2020-01-16	defer	65be9ae		src/boot/boot.janet	
					
2020-01-16	when-with	962cd7e		src/boot/boot.janet	
2020-01-16	if-with	962cd7e		src/boot/boot.janet	
					
2020-01-19	eachk	064475c		src/boot/boot.janet	
2020-01-19	eachp	064475c		src/boot/boot.janet	
					
2020-01-24	mod	28d4103		src/core/corelib.c	
2020-01-24	%	28d4103		src/core/corelib.c	
					
2020-01-25	var-	6f9c987		src/boot/boot.janet	
					
2020-02-03		f7ee8bd			tag v1.7.0
					
2020-02-04	flush	3fdc053		src/core/io.c	
2020-02-04	eflush	3fdc053		src/core/io.c	
					
2020-02-24	signal	6a13703		src/core/corelib.c	
					
2020-02-24	prompt	59d288c		src/boot/boot.janet	
2020-02-24	return	59d288c		src/boot/boot.janet	
					
2020-03-11	chr	77343e0		src/boot/boot.janet	
					
2020-03-27	reduce2	3eb0927		src/boot/boot.janet	
2020-03-27	accumulate	3eb0927		src/boot/boot.janet	
2020-03-27	accumulate2	3eb0927		src/boot/boot.janet	
					
2020-03-30		279b536			tag v1.8.0
					
2020-03-31		5b6b9f1			tag v1.8.1
					
2020-04-10	sort-by	02f17bd		src/boot/boot.janet	
2020-04-10	sorted-by	02f17bd		src/boot/boot.janet	
					
2020-04-14	edefer	93fc11e		src/boot/boot.janet	
					
2020-04-26	parse	9bc5ac0		src/boot/boot.janet	
					
2020-05-10	errorf	535ab83		src/boot/boot.janet	
					
2020-05-11		235605b			tag v1.9.0
					
2020-05-12		4ae3722			tag v1.9.1
					
2020-05-19	tracev	e9a5cfa		src/boot/boot.janet	added as dbg by LouisJackman in fabb722, renamed to trace-pp in 9109e36
					
2020-06-05	compare	81d301a		src/boot/boot.janet	
2020-06-05	compare=	81d301a		src/boot/boot.janet	
2020-06-05	compare<	81d301a		src/boot/boot.janet	
2020-06-05	compare<=	81d301a		src/boot/boot.janet	
2020-06-05	compare>	81d301a		src/boot/boot.janet	
2020-06-05	compare>=	81d301a		src/boot/boot.janet	
					
2020-06-15		be1ec1b			tag v1.10.0
					
2020-06-19		9cfc3d9			tag v1.10.1
					
2020-06-22	repeat	803f17a		src/boot/boot.janet	
					
2020-06-25	cmp	ac5de1f		src/core/corelib.c	removed janet function compare-primitve and replaced with asm cmp
					
2020-06-28	forv	95c6339		src/boot/boot.janet	
					
2020-07-04	reverse!	55cf9f5		src/boot/boot.janet	
					
2020-07-06	any?	7478ad1		src/boot/boot.janet	
					
2020-07-07	forever	f580d2e		src/boot/boot.janet	
					
2020-07-19		fa55283			tag v1.11.0
					
2020-07-26		4cc6809			tag v1.11.1
					
2020-08-03	index-of	b564087		src/boot/boot.janet	
					
2020-08-04		9afcec7			tag v1.11.3
					
2020-08-09	xprint	7b42ed6		src/core/io.c	
2020-08-09	xprin	7b42ed6		src/core/io.c	
2020-08-09	xprintf	7b42ed6		src/core/io.c	
2020-08-09	xprinf	7b42ed6		src/core/io.c	
					
2020-08-23	curenv	f7c556e		src/boot/boot.janet	
					
2020-08-23	cancel	28439d8		src/core/corelib.c	
					
2020-09-08		2bf5e34			tag v1.12.1
					
2020-09-21		b91fe8b			tag v1.12.2
					
2020-11-17	compif	760e4e3		src/boot/boot.janet	
2020-11-17	compwhen	760e4e3		src/boot/boot.janet	
2020-11-17	upscope	760e4e3		src/core/specials.c	
					
2020-11-27	merge-module	bfd2845		src/boot/boot.janet	
					
2020-12-14		392d5d5			tag v1.13.1
					
2021-01-07	flycheck	545df28		src/boot/boot.janet	
					
2021-01-12	doc-of	dfbdd17		src/boot/boot.janet	
					
2021-01-19		49dcc81			tag v1.14.1
					
2021-01-24		5cac8bc			tag v1.14.2
					
2021-02-09		2795e8a			tag v1.15.0
					
2021-02-16		f1819c9			tag v.1.15.2
					
2021-03-01		6392b37			tag v1.15.3
					
2021-03-05	group-by	c909762		src/boot/boot.janet	
2021-03-05	partition-by	c909762		src/boot/boot.janet	
					
2021-03-17		fcb88e5			tag v1.15.4
					
2021-04-26		e181ee5			tag v1.15.5
					
2023-06-01	has-key?	5de8894		src/boot/boot.janet	added by Techcable as contains-key? in 0fcbda2
2023-06-01	has-value?	5de8894		src/boot/boot.janet	added by Techcable as contains? in 0fcbda2
					
2023-06-28	div	c83f3ec		src/core/corelib.c	added by primo-ppcg
